variavel,importancia
tracado_via_Rotatória;Viaduto,8.713844797463992e-05
tracado_via_Reta;Ponte;Declive,8.265132799689124e-05
tracado_via_Desvio Temporário;Reta;Em Obras,8.079953256786551e-05
tracado_via_Interseção de Vias;Declive,7.90516288119549e-05
tracado_via_Desvio Temporário;Viaduto;Reta;Em Obras,7.87166776218426e-05
tracado_via_Curva;Aclive;Interseção de Vias,7.63896490978483e-05
tracado_via_Interseção de Vias;Túnel,7.310555355396689e-05
tracado_via_Retorno Regulamentado;Interseção de Vias;Reta,7.298444133313515e-05
tracado_via_Desvio Temporário;Em Obras;Declive,7.238534035910621e-05
tracado_via_Interseção de Vias;Reta;Viaduto,7.120115155563338e-05
tracado_via_Interseção de Vias;Retorno Regulamentado,7.059280321587106e-05
tracado_via_Em Obras;Desvio Temporário,6.725595973556121e-05
tracado_via_Em Obras;Desvio Temporário;Reta,6.647388244867553e-05
tracado_via_Interseção de Vias;Em Obras,6.414061892941078e-05
tracado_via_Reta;Ponte;Aclive,6.288178590972358e-05
tracado_via_Reta;Viaduto;Em Obras,6.166833823863646e-05
tracado_via_Aclive;Curva;Viaduto,6.142966426587634e-05
tracado_via_Declive;Viaduto,5.8720636569826135e-05
tracado_via_Em Obras;Rotatória,5.830715305539742e-05
tracado_via_Interseção de Vias;Curva;Retorno Regulamentado,5.69230623236596e-05
tracado_via_Aclive;Curva;Em Obras,5.689207863306532e-05
tracado_via_Curva;Aclive;Viaduto,5.664922059175073e-05
tracado_via_Interseção de Vias;Em Obras;Reta,5.6249962248826284e-05
tracado_via_Reta;Declive;Retorno Regulamentado,5.587559567767069e-05
tracado_via_Viaduto;Interseção de Vias,5.3330550057259506e-05
tracado_via_Aclive;Reta;Viaduto,5.275435740147307e-05
tracado_via_Declive;Rotatória,5.2300799202405695e-05
tracado_via_Rotatória;Retorno Regulamentado,5.185324663480053e-05
tracado_via_Reta;Interseção de Vias;Em Obras,5.075498077681616e-05
tracado_via_Reta;Interseção de Vias;Viaduto,5.0341811422945766e-05
tracado_via_Reta;Desvio Temporário,5.030831301868938e-05
tracado_via_Declive;Ponte;Reta,4.828945043253498e-05
tracado_via_Interseção de Vias;Declive;Reta,4.748081583298812e-05
tracado_via_Interseção de Vias;Declive;Retorno Regulamentado,4.744803393846758e-05
tracado_via_Em Obras;Aclive;Reta,4.380321452204829e-05
tracado_via_Curva;Desvio Temporário;Aclive,4.343883618280611e-05
tracado_via_Reta;Em Obras;Interseção de Vias,4.170531942171911e-05
tracado_via_Viaduto;Reta;Aclive,4.151280544201037e-05
tracado_via_Curva;Declive;Retorno Regulamentado,4.048352114234016e-05
tracado_via_Curva;Interseção de Vias;Retorno Regulamentado,4.045270815176814e-05
tracado_via_Aclive;Rotatória,4.0215330893795024e-05
tracado_via_Ponte;Curva;Aclive,3.983525693751818e-05
tracado_via_Retorno Regulamentado;Rotatória,3.902659584481778e-05
tracado_via_Reta;Retorno Regulamentado;Aclive,3.765460309961095e-05
tracado_via_Ponte;Declive;Curva,3.692652978439704e-05
tracado_via_Curva;Rotatória;Interseção de Vias,3.658583236420225e-05
tracado_via_Aclive;Retorno Regulamentado;Curva,3.534755460378718e-05
tracado_via_Curva;Viaduto;Declive,3.512015187110918e-05
tracado_via_Curva;Ponte;Interseção de Vias;Aclive;Em Obras;Viaduto,3.471517891854429e-05
tracado_via_Rotatória;Interseção de Vias;Viaduto,3.437793551818069e-05
tracado_via_Reta;Túnel,3.263404233400482e-05
tracado_via_Interseção de Vias;Curva;Rotatória,3.254240645575012e-05
tracado_via_Declive;Rotatória;Curva,3.240644252265079e-05
tracado_via_Declive;Retorno Regulamentado,3.187545658818441e-05
tracado_via_Interseção de Vias;Aclive;Curva,3.1874336221781096e-05
tracado_via_Declive;Desvio Temporário;Em Obras,3.1705767343934164e-05
tracado_via_Interseção de Vias;Em Obras;Curva;Aclive,3.1560683383206024e-05
tracado_via_Retorno Regulamentado;Rotatória;Reta,3.113129028613156e-05
tracado_via_Curva;Em Obras;Aclive,3.1129259315280586e-05
tracado_via_Viaduto;Reta;Retorno Regulamentado,3.1096449141833726e-05
tracado_via_Interseção de Vias;Declive;Curva,3.090699931776986e-05
tracado_via_Viaduto;Retorno Regulamentado,3.058623453094045e-05
tracado_via_Aclive;Interseção de Vias;Reta,3.032051488084997e-05
tracado_via_Aclive;Viaduto;Reta,2.9680734368348728e-05
tracado_via_Reta;Viaduto;Declive,2.9524068696569257e-05
tracado_via_Declive;Interseção de Vias;Curva,2.9227925823965333e-05
tracado_via_Declive;Curva;Retorno Regulamentado,2.9083157685662317e-05
tracado_via_Rotatória;Declive,2.905941483744886e-05
tracado_via_Retorno Regulamentado;Aclive;Viaduto,2.8879183888498344e-05
tracado_via_Retorno Regulamentado;Interseção de Vias;Reta;Viaduto;Declive,2.8542824187293672e-05
tracado_via_Aclive;Curva;Retorno Regulamentado,2.8444507386349956e-05
tracado_via_Interseção de Vias;Reta;Retorno Regulamentado;Declive,2.7266226143672432e-05
tracado_via_Rotatória;Em Obras,2.7211198905785618e-05
tracado_via_Curva;Desvio Temporário;Em Obras,2.7082690824033594e-05
tracado_via_Aclive;Desvio Temporário;Curva,2.6981908811870338e-05
tracado_via_Interseção de Vias;Em Obras;Rotatória;Reta,2.6932799257337518e-05
tracado_via_Interseção de Vias;Reta;Declive,2.6846713328864537e-05
tracado_via_Desvio Temporário;Declive;Reta;Em Obras,2.66962084609549e-05
tracado_via_Rotatória;Aclive;Interseção de Vias,2.6265663986330236e-05
tracado_via_Viaduto;Declive;Curva;Em Obras,2.6200220583141728e-05
tracado_via_Em Obras;Curva;Declive,2.59334926016505e-05
tracado_via_Desvio Temporário;Em Obras;Aclive,2.5819450868532272e-05
tracado_via_Viaduto;Interseção de Vias;Rotatória,2.532850816616507e-05
